0100 0001 1 | 0 0110
0100 0001 1 | 0 0110
0100 0001 1 | 0 0110
0100 0001 1 | 0 0110
0100 0001 1 | 0 0110
0100 0001 1 | 0 0110
0100 0001 1 | 0 0110
0100 0001 1 | 0 0110
0100 0001 1 | 0 0110
0100 0001 1 | 0 0110
0100 0001 1 | 0 0110
0100 0001 1 | 0 0110
0100 0001 1 | 0 0110
0100 0001 1 | 0 0110
0100 0001 1 | 0 0110
0100 0001 1 | 0 0110
0100 0001 1 | 0 0110
0100 0001 1 | 0 0110
0100 0001 1 | 0 0110
