0100 0001 | 1 0110
0100 0001 | 1 0110
0100 0001 | 1 0110
0100 0001 | 1 0110
0100 0001 | 1 0110
0100 0001 | 1 0110
0100 0001 | 1 0110
0100 0001 | 1 0110
0100 0001 | 1 0110
0100 0001 | 1 0110
0100 0001 | 1 0110
0100 0001 | 1 0110
0100 0001 | 1 0110
0100 0001 | 1 0110
0100 0001 | 1 0110
0100 0001 | 1 0110
0100 0001 | 1 0110
0100 0001 | 1 0110
0100 0001 | 1 0110
