01100. | 0.1011100010  = 0.720703125
01101. | 0.1011010010  = 0.705078125
01110. | 0.1011000010  = 0.689453125
01111. | 0.1010110100  = 0.67578125
10000. | 0.1010100110  = 0.662109375
10001. | 0.1010011000  = 0.6484375
10010. | 0.1010001010  = 0.634765625
10011. | 0.1001111110  = 0.623046875
10100. | 0.1001110010  = 0.611328125
10101. | 0.1001100110  = 0.599609375
10110. | 0.1001011010  = 0.587890625
10111. | 0.1001010000  = 0.578125
11000. | 0.1001000110  = 0.568359375
11001. | 0.1000111100  = 0.55859375
11010. | 0.1000110010  = 0.548828125
11011. | 0.1000101000  = 0.5390625
11100. | 0.1000011110  = 0.529296875
11101. | 0.1000010110  = 0.521484375
11110. | 0.1000001110  = 0.513671875
11111. | 0.1000000110  = 0.505859375
------ a2[x0, x2] -------------
00000 | 0.0000001011  = 0.0107421875
00001. | 0.0000000011  = 0.0029296875
00010. | 1.1111111101  = -0.0029296875
00011. | 1.1111110101  = -0.0107421875
00100. | 0.0000001001  = 0.0087890625
00101. | 0.0000000011  = 0.0029296875
00110. | 1.1111111101  = -0.0029296875
00111. | 1.1111110111  = -0.0087890625
01000. | 0.0000000111  = 0.0068359375
01001. | 0.0000000011  = 0.0029296875
01010. | 1.1111111101  = -0.0029296875
01011. | 1.1111111001  = -0.0068359375
01100. | 0.0000000101  = 0.0048828125
01101. | 0.0000000001  = 0.0009765625
01110. | 1.1111111111  = -0.0009765625
01111. | 1.1111111011  = -0.0048828125
10000. | 0.0000000101  = 0.0048828125
10001. | 0.0000000001  = 0.0009765625
10010. | 1.1111111111  = -0.0009765625
10011. | 1.1111111011  = -0.0048828125
10100. | 0.0000000101  = 0.0048828125
10101. | 0.0000000001  = 0.0009765625
10110. | 1.1111111111  = -0.0009765625
10111. | 1.1111111011  = -0.0048828125
11000. | 0.0000000011  = 0.0029296875
11001. | 0.0000000001  = 0.0009765625
11010. | 1.1111111111  = -0.0009765625
11011. | 1.1111111101  = -0.0029296875
11100. | 0.0000000011  = 0.0029296875
11101. | 0.0000000001  = 0.0009765625
11110. | 1.1111111111  = -0.0009765625
11111. | 1.1111111101  = -0.0029296875
